valid_time	latitude	longitude	tcc
1729123200	32.47	76.06	0.0
1729123200	32.47	76.31	0.0022478104
1729123200	32.47	76.56	0.03525734
1729123200	32.22	76.06	0.0
1729123200	32.22	76.31	1.4686584E-4
1729123200	32.22	76.56	0.002746582
1729123200	31.97	76.06	0.0
1729123200	31.97	76.31	7.6293945E-5
1729123200	31.97	76.56	0.0012893677
1729126800	32.47	76.06	0.0
1729126800	32.47	76.31	0.0056934357
1729126800	32.47	76.56	0.055300713
1729126800	32.22	76.06	0.0
1729126800	32.22	76.31	4.4727325E-4
1729126800	32.22	76.56	0.007246971
1729126800	31.97	76.06	0.0
1729126800	31.97	76.31	2.2602081E-4
1729126800	31.97	76.56	0.007291794
1729130400	32.47	76.06	0.0012893677
1729130400	32.47	76.31	0.009151459
1729130400	32.47	76.56	0.24494171
1729130400	32.22	76.06	0.0
1729130400	32.22	76.31	3.0136108E-4
1729130400	32.22	76.56	0.01550293
1729130400	31.97	76.06	0.0
1729130400	31.97	76.31	1.487732E-4
1729130400	31.97	76.56	0.0025596619
1729134000	32.47	76.06	6.752014E-4
1729134000	32.47	76.31	0.009361267
1729134000	32.47	76.56	0.12659073
1729134000	32.22	76.06	3.0517578E-4
1729134000	32.22	76.31	0.0033035278
1729134000	32.22	76.56	0.01952362
1729134000	31.97	76.06	0.0
1729134000	31.97	76.31	5.264282E-4
1729134000	31.97	76.56	0.008972168
1729137600	32.47	76.06	0.0
1729137600	32.47	76.31	2.2625923E-4
1729137600	32.47	76.56	0.0022581816
1729137600	32.22	76.06	0.0
1729137600	32.22	76.31	0.0
1729137600	32.22	76.56	0.0
1729137600	31.97	76.06	0.0
1729137600	31.97	76.31	0.0
1729137600	31.97	76.56	0.0
1729141200	32.47	76.06	0.0
1729141200	32.47	76.31	0.0
1729141200	32.47	76.56	0.0
1729141200	32.22	76.06	0.0
1729141200	32.22	76.31	0.0
1729141200	32.22	76.56	0.0
1729141200	31.97	76.06	0.0
1729141200	31.97	76.31	0.0
1729141200	31.97	76.56	0.0
1729144800	32.47	76.06	0.07197376
1729144800	32.47	76.31	0.13537402
1729144800	32.47	76.56	0.07703205
1729144800	32.22	76.06	0.0044612484
1729144800	32.22	76.31	0.15131946
1729144800	32.22	76.56	0.45716664
1729144800	31.97	76.06	0.0033702448
1729144800	31.97	76.31	0.04804798
1729144800	31.97	76.56	0.20874591
1729148400	32.47	76.06	0.13482124
1729148400	32.47	76.31	0.31223518
1729148400	32.47	76.56	0.40590125
1729148400	32.22	76.06	0.023355775
1729148400	32.22	76.31	0.19941169
1729148400	32.22	76.56	0.43593818
1729148400	31.97	76.06	0.014162354
1729148400	31.97	76.31	0.09181433
1729148400	31.97	76.56	0.2837699
1729152000	32.47	76.06	0.24833077
1729152000	32.47	76.31	0.400438
1729152000	32.47	76.56	0.51021737
1729152000	32.22	76.06	0.054200824
1729152000	32.22	76.31	0.15416878
1729152000	32.22	76.56	0.2466752
1729152000	31.97	76.06	0.027124103
1729152000	31.97	76.31	0.03686684
1729152000	31.97	76.56	0.119119346
1729155600	32.47	76.06	0.27038836
1729155600	32.47	76.31	0.41668963
1729155600	32.47	76.56	0.5807216
1729155600	32.22	76.06	0.053225286
1729155600	32.22	76.31	0.18382525
1729155600	32.22	76.56	0.3434322
1729155600	31.97	76.06	0.014391668
1729155600	31.97	76.31	0.04561115
1729155600	31.97	76.56	0.16060138
1729159200	32.47	76.06	0.1876895
1729159200	32.47	76.31	0.20856352
1729159200	32.47	76.56	0.2720172
1729159200	32.22	76.06	0.047163684
1729159200	32.22	76.31	0.0963275
1729159200	32.22	76.56	0.29787323
1729159200	31.97	76.06	0.0074145384
1729159200	31.97	76.31	0.051207263
1729159200	31.97	76.56	0.21008177
1729162800	32.47	76.06	0.13943917
1729162800	32.47	76.31	0.24229866
1729162800	32.47	76.56	0.35535866
1729162800	32.22	76.06	0.038128436
1729162800	32.22	76.31	0.10805184
1729162800	32.22	76.56	0.21520668
1729162800	31.97	76.06	0.016110003
1729162800	31.97	76.31	0.021374285
1729162800	31.97	76.56	0.108769
1729166400	32.47	76.06	0.031905953
1729166400	32.47	76.31	0.0773924
1729166400	32.47	76.56	0.20565015
1729166400	32.22	76.06	0.016574685
1729166400	32.22	76.31	0.051700417
1729166400	32.22	76.56	0.1184538
1729166400	31.97	76.06	0.00711805
1729166400	31.97	76.31	0.012962166
1729166400	31.97	76.56	0.06644803
1729170000	32.47	76.06	0.034166582
1729170000	32.47	76.31	0.07065416
1729170000	32.47	76.56	0.15404725
1729170000	32.22	76.06	0.026338823
1729170000	32.22	76.31	0.058214433
1729170000	32.22	76.56	0.094232805
1729170000	31.97	76.06	0.012048967
1729170000	31.97	76.31	0.017450579
1729170000	31.97	76.56	0.058969744
1729173600	32.47	76.06	0.015851311
1729173600	32.47	76.31	0.051057152
1729173600	32.47	76.56	0.14021043
1729173600	32.22	76.06	0.011094384
1729173600	32.22	76.31	0.0346654
1729173600	32.22	76.56	0.045666985
1729173600	31.97	76.06	0.0038960497
1729173600	31.97	76.31	0.0069859545
1729173600	31.97	76.56	0.024697594
1729177200	32.47	76.06	0.024891388
1729177200	32.47	76.31	0.037640106
1729177200	32.47	76.56	0.07235958
1729177200	32.22	76.06	0.0060544135
1729177200	32.22	76.31	0.013758195
1729177200	32.22	76.56	0.022663604
1729177200	31.97	76.06	0.0032220006
1729177200	31.97	76.31	0.003372681
1729177200	31.97	76.56	0.017124664
1729180800	32.47	76.06	0.010185242
1729180800	32.47	76.31	0.024049759
1729180800	32.47	76.56	0.061738014
1729180800	32.22	76.06	0.0012550354
1729180800	32.22	76.31	0.011265755
1729180800	32.22	76.56	0.027695656
1729180800	31.97	76.06	0.0
1729180800	31.97	76.31	8.1157684E-4
1729180800	31.97	76.56	0.019756317
1729184400	32.47	76.06	0.003985405
1729184400	32.47	76.31	0.016415596
1729184400	32.47	76.56	0.047563553
1729184400	32.22	76.06	0.0012264252
1729184400	32.22	76.31	0.009021759
1729184400	32.22	76.56	0.014543533
1729184400	31.97	76.06	0.0
1729184400	31.97	76.31	3.7384033E-4
1729184400	31.97	76.56	0.010689735
1729188000	32.47	76.06	0.0026369095
1729188000	32.47	76.31	0.009338379
1729188000	32.47	76.56	0.032131195
1729188000	32.22	76.06	6.132126E-4
1729188000	32.22	76.31	0.004811287
1729188000	32.22	76.56	0.013181686
1729188000	31.97	76.06	0.0
1729188000	31.97	76.31	2.2315979E-4
1729188000	31.97	76.56	0.011797905
1729191600	32.47	76.06	0.0
1729191600	32.47	76.31	0.0013952255
1729191600	32.47	76.56	0.021092892
1729191600	32.22	76.06	0.0
1729191600	32.22	76.31	4.4679642E-4
1729191600	32.22	76.56	0.0084142685
1729191600	31.97	76.06	0.0
1729191600	31.97	76.31	2.9945374E-4
1729191600	31.97	76.56	0.008507729
1729195200	32.47	76.06	0.0012888908
1729195200	32.47	76.31	0.0031576157
1729195200	32.47	76.56	0.024668694
1729195200	32.22	76.06	0.0
1729195200	32.22	76.31	1.4638901E-4
1729195200	32.22	76.56	0.0039925575
1729195200	31.97	76.06	0.0
1729195200	31.97	76.31	2.2697449E-4
1729195200	31.97	76.56	0.0048832893
1729198800	32.47	76.06	0.0025501251
1729198800	32.47	76.31	0.0046958923
1729198800	32.47	76.56	0.099559784
1729198800	32.22	76.06	0.0
1729198800	32.22	76.31	1.4686584E-4
1729198800	32.22	76.56	0.007843018
1729198800	31.97	76.06	0.0
